Tier,Title,Anime,Actionable Score,Bonus,Pri Score,Trends Norm,Test SKU 1,Test SKU 2,eBay Query,Mercari Keywords (JP),[MANUAL] Sold 30d,[MANUAL] Price Range,[MANUAL] Result (Pass/Fail),Notes
A,Chainsaw Man,Finished,271.7,0,271.7,24.7,Vol 1 First Print (Obi),Store Bonus Card/Paper,Chainsaw Man manga,チェンソーマン 特典 | チェンソーマン 初版,,,,Qual: 0.8
A,Jujutsu Kaisen,Announced,182.4,10,192.4,28.5,Vol 1 First Print (Obi),Store Bonus Card/Paper,Jujutsu Kaisen manga,呪術廻戦 特典 | 呪術廻戦 初版,,,,Qual: 0.8
A,One Piece,Airing,187.4,0,187.4,360.0,Vol 1 First Print (Obi),Store Bonus Card/Paper,One Piece manga,ONE PIECE 特典 | ONE PIECE 初版,,,,Qual: 0.8
A,Berserk,Finished,180.1,0,180.1,10.2,Vol 1 First Print (Obi),Store Bonus Card/Paper,Berserk manga,ベルセルク 特典 | ベルセルク 初版,,,,Qual: 0.8
A,Attack on Titan,Finished,172.8,0,172.8,12.9,Vol 1 First Print (Obi),Store Bonus Card/Paper,Attack on Titan manga,進撃の巨人 特典 | 進撃の巨人 初版,,,,Qual: 0.8
B,Demon Slayer: Kimetsu no Yaiba,Announced,156.9,10,166.9,1.4,Vol 1 First Print (Obi),Store Bonus Card/Paper,Demon Slayer: Kimetsu no Yaiba manga,鬼滅の刃 特典 | 鬼滅の刃 初版,,,,Qual: 0.8
B,Vagabond,None,145.5,20,165.5,6.0,Vol 1 First Print (Obi),Store Bonus Card/Paper,Vagabond manga,バガボンド 特典 | バガボンド 初版,,,,Qual: 1.0
B,Goodnight Punpun,None,135.4,20,155.4,0.0,Vol 1 First Print (Obi),Store Bonus Card/Paper,Goodnight Punpun manga,おやすみプンプン 特典 | おやすみプンプン 初版,,,,Qual: 0.8
B,Vinland Saga,Finished,143.4,0,143.4,5.3,Vol 1 First Print (Obi),Store Bonus Card/Paper,Vinland Saga manga,ヴィンランド・サガ 特典 | ヴィンランド・サガ 初版,,,,Qual: 1.0
B,Tokyo Ghoul,Finished,142.3,0,142.3,4.2,Vol 1 First Print (Obi),Store Bonus Card/Paper,Tokyo Ghoul manga,東京喰種 トーキョーグール 特典 | 東京喰種 トーキョーグール 初版,,,,Qual: 0.8
B,My Hero Academia,Finished,136.1,0,136.1,18.8,Vol 1 First Print (Obi),Store Bonus Card/Paper,My Hero Academia manga,僕のヒーローアカデミア 特典 | 僕のヒーローアカデミア 初版,,,,Qual: 0.8
B,One-Punch Man,Airing,129.7,0,129.7,0.0,Vol 1 First Print (Obi),Store Bonus Card/Paper,One-Punch Man manga,ワンパンマン 特典 | ワンパンマン 初版,,,,Qual: 0.8
B,The Promised Neverland,Finished,126.1,0,126.1,0.0,Vol 1 First Print (Obi),Store Bonus Card/Paper,The Promised Neverland manga,約束のネバーランド 特典 | 約束のネバーランド 初版,,,,Qual: 1.0
B,SPY x FAMILY,Airing,121.7,0,121.7,7.7,Vol 1 First Print (Obi),Store Bonus Card/Paper,SPY x FAMILY manga,SPY×FAMILY 特典 | SPY×FAMILY 初版,,,,Qual: 0.8
B,[Oshi no Ko],Announced,97.8,10,107.8,1.4,Vol 1 First Print (Obi),Store Bonus Card/Paper,[Oshi no Ko] manga,【推しの子】 特典 | 【推しの子】 初版,,,,Qual: 1.0
B,JoJo's Bizarre Adventure: Part 7–Steel Ball Run,Announced,94.3,10,104.3,0.0,Vol 1 First Print (Obi),Store Bonus Card/Paper,JoJo's Bizarre Adventure: Part 7–Steel Ball Run manga,ジョジョの奇妙な冒険 スティール・ボール・ラン 特典 | ジョジョの奇妙な冒険 スティール・ボール・ラン 初版,,,,Qual: 1.0
B,Blue Lock,Announced,90.9,10,100.9,19.7,Vol 1 First Print (Obi),Store Bonus Card/Paper,Blue Lock manga,ブルーロック 特典 | ブルーロック 初版,,,,Qual: 0.8
B,Tokyo Revengers,Announced,89.6,10,99.6,2.8,Vol 1 First Print (Obi),Store Bonus Card/Paper,Tokyo Revengers manga,東京卍リベンジャーズ 特典 | 東京卍リベンジャーズ 初版,,,,Qual: 0.8
B,Monster,Finished,99.0,0,99.0,131.5,Vol 1 First Print (Obi),Store Bonus Card/Paper,Monster manga,MONSTER 特典 | MONSTER 初版,,,,Qual: 1.0
B,Kaiju No.8,Finished,98.3,0,98.3,0.0,Vol 1 First Print (Obi),Store Bonus Card/Paper,Kaiju No.8 manga,怪獣８号 特典 | 怪獣８号 初版,,,,Qual: 1.0
B,Bleach,Announced,87.7,10,97.7,35.2,Vol 1 First Print (Obi),Store Bonus Card/Paper,Bleach manga,BLEACH 特典 | BLEACH 初版,,,,Qual: 0.8
B,20th Century Boys,None,77.7,20,97.7,0.0,Vol 1 First Print (Obi),Store Bonus Card/Paper,20th Century Boys manga,20世紀少年 特典 | 20世紀少年 初版,,,,Qual: 0.8
B,Dandadan,Announced,84.6,10,94.6,4.2,Vol 1 First Print (Obi),Store Bonus Card/Paper,Dandadan manga,ダンダダン 特典 | ダンダダン 初版,,,,Qual: 0.8
B,Tokyo Ghoul:re,Finished,94.4,0,94.4,0.0,Vol 1 First Print (Obi),Store Bonus Card/Paper,Tokyo Ghoul:re manga,東京喰種-トーキョーグール-:re 特典 | 東京喰種-トーキョーグール-:re 初版,,,,Qual: 1.0
B,Fire Punch,None,74.3,20,94.3,0.0,Vol 1 First Print (Obi),Store Bonus Card/Paper,Fire Punch manga,ファイアパンチ 特典 | ファイアパンチ 初版,,,,Qual: 0.8
B,Horimiya,Finished,92.6,0,92.6,1.4,Vol 1 First Print (Obi),Store Bonus Card/Paper,Horimiya manga,ホリミヤ 特典 | ホリミヤ 初版,,,,Qual: 0.8
B,Black Clover,Announced,79.2,10,89.2,8.4,Vol 1 First Print (Obi),Store Bonus Card/Paper,Black Clover manga,ブラッククローバー 特典 | ブラッククローバー 初版,,,,Qual: 0.8
B,My Dress-Up Darling,Finished,88.0,0,88.0,0.0,Vol 1 First Print (Obi),Store Bonus Card/Paper,My Dress-Up Darling manga,その着せ替え人形は恋をする 特典 | その着せ替え人形は恋をする 初版,,,,Qual: 1.0
B,Haikyu!!,Announced,76.5,10,86.5,1.4,Vol 1 First Print (Obi),Store Bonus Card/Paper,Haikyu!! manga,ハイキュー！！ 特典 | ハイキュー！！ 初版,,,,Qual: 0.8
B,Hell’s Paradise: Jigokuraku,Announced,71.4,10,81.4,0.0,Vol 1 First Print (Obi),Store Bonus Card/Paper,Hell’s Paradise: Jigokuraku manga,地獄楽 特典 | 地獄楽 初版,,,,Qual: 0.8
B,"Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de.",None,61.2,20,81.2,0.0,Vol 1 First Print (Obi),Store Bonus Card/Paper,"Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de. manga",寿命を買い取ってもらった。一年につき、一万円で。 特典 | 寿命を買い取ってもらった。一年につき、一万円で。 初版,,,,Qual: 0.8
B,Komi Can't Communicate,Finished,80.9,0,80.9,0.0,Vol 1 First Print (Obi),Store Bonus Card/Paper,Komi Can't Communicate manga,古見さんは、コミュ症です。 特典 | 古見さんは、コミュ症です。 初版,,,,Qual: 0.8
C,Hunter x Hunter,Finished,79.1,0,79.1,6.6,Vol 1 First Print (Obi),Store Bonus Card/Paper,Hunter x Hunter manga,HUNTER×HUNTER 特典 | HUNTER×HUNTER 初版,,,,Qual: 0.8
